# id,coord_ra,coord_dec,parent,deblend_nChild,deblend_psfCenter_x,deblend_psfCenter_y,deblend_psfFlux,base_GaussianCentroid_x,base_GaussianCentroid_y,base_NaiveCentroid_x,base_NaiveCentroid_y,base_SdssCentroid_x,base_SdssCentroid_y,base_SdssCentroid_xSigma,base_SdssCentroid_ySigma,base_SdssShape_xx,base_SdssShape_yy,base_SdssShape_xy,base_SdssShape_xxSigma,base_SdssShape_yySigma,base_SdssShape_xySigma,base_SdssShape_x,base_SdssShape_y,base_SdssShape_flux,base_SdssShape_fluxSigma,base_SdssShape_psf_xx,base_SdssShape_psf_yy,base_SdssShape_psf_xy,base_SdssShape_flux_xx_Cov,base_SdssShape_flux_yy_Cov,base_SdssShape_flux_xy_Cov,ext_shapeHSM_HsmPsfMoments_x,ext_shapeHSM_HsmPsfMoments_y,ext_shapeHSM_HsmPsfMoments_xx,ext_shapeHSM_HsmPsfMoments_yy,ext_shapeHSM_HsmPsfMoments_xy,ext_shapeHSM_HsmShapeRegauss_e1,ext_shapeHSM_HsmShapeRegauss_e2,ext_shapeHSM_HsmShapeRegauss_sigma,ext_shapeHSM_HsmShapeRegauss_resolution,ext_shapeHSM_HsmSourceMoments_x,ext_shapeHSM_HsmSourceMoments_y,ext_shapeHSM_HsmSourceMoments_xx,ext_shapeHSM_HsmSourceMoments_yy,ext_shapeHSM_HsmSourceMoments_xy,base_CircularApertureFlux_3_0_flux,base_CircularApertureFlux_3_0_fluxSigma,base_CircularApertureFlux_4_5_flux,base_CircularApertureFlux_4_5_fluxSigma,base_CircularApertureFlux_6_0_flux,base_CircularApertureFlux_6_0_fluxSigma,base_CircularApertureFlux_9_0_flux,base_CircularApertureFlux_9_0_fluxSigma,base_CircularApertureFlux_12_0_flux,base_CircularApertureFlux_12_0_fluxSigma,base_CircularApertureFlux_17_0_flux,base_CircularApertureFlux_17_0_fluxSigma,base_CircularApertureFlux_25_0_flux,base_CircularApertureFlux_25_0_fluxSigma,base_CircularApertureFlux_35_0_flux,base_CircularApertureFlux_35_0_fluxSigma,base_CircularApertureFlux_50_0_flux,base_CircularApertureFlux_50_0_fluxSigma,base_CircularApertureFlux_70_0_flux,base_CircularApertureFlux_70_0_fluxSigma,base_GaussianFlux_flux,base_GaussianFlux_fluxSigma,base_PsfFlux_flux,base_PsfFlux_fluxSigma,base_Variance_value,base_PsfFlux_apCorr,base_PsfFlux_apCorrSigma,base_GaussianFlux_apCorr,base_GaussianFlux_apCorrSigma,base_ClassificationExtendedness_value,footprint
688.0000,  0.0007,  0.0014,  0.0000,  0.0000,     nan,     nan,     nan,2850.7935,1484.1603,2850.0297,1484.0173,2850.7833,1484.1761,  0.1519,  0.1637, 10.9507, 11.6379,  1.7374,  0.8572,  0.6322,  0.9110,2850.7838,1484.1734,2138.9279, 83.7175, 11.1621, 12.2292,  0.7591,-35.8820, -5.6930,-38.1339, -0.0006, -0.0010, 11.1682, 12.2358,  0.7594,     nan,     nan,     nan,     nan,2850.7847,1484.1714, 10.9623, 11.6415,  1.7404,735.0189, 26.0052,1273.5352, 39.0260,1693.9208, 52.3303,2065.4568, 78.9171,2266.3118,106.5364,2289.4762,150.6652,2257.2814,221.6980,2573.1273,310.2015,3456.5123,443.1140,4824.0639,620.3426,2251.0874, 62.3013,2300.1719, 63.6839, 25.0000,  0.9575,  0.0000,  1.0521,  0.0000,  0.0000,688.0000
689.0000,  0.0024,  0.0014,  0.0000,  0.0000,     nan,     nan,     nan,1168.4211,1491.0250,1168.0358,1491.0048,1168.4220,1491.0254,  0.0374,  0.0412, 11.1311, 12.6234,  0.2577,  0.2121,  0.1597,  0.2405,1168.4214,1491.0219,9057.8592, 86.2913, 10.8860, 11.5156,  1.1004, -9.1505, -0.2118,-10.3773, -0.0004, -0.0008, 10.8922, 11.5224,  1.1002, -0.7172, -1.4310,  0.2712,  0.0471,1168.4209,1491.0184, 11.1367, 12.6293,  0.2570,2958.3513, 25.9356,5195.6211, 39.0115,6997.8706, 52.3140,8801.5488, 78.9014,9471.1954,106.5364,9811.8173,150.7481,9913.4170,221.3030,9870.6219,309.9193,9636.8566,443.1704,9310.7481,620.3628,9590.6363, 64.6061,9304.7996, 62.6590,     nan,  0.9584,  0.0000,  1.0586,  0.0000,  0.0000,689.0000
690.0000,  0.0014,  0.0014,  0.0000,  0.0000,     nan,     nan,     nan,2148.1194,1494.1069,2148.0149,1494.0062,2148.1181,1494.1060,  0.0418,  0.0437, 12.0248, 12.3340,  0.9564,  0.2466,  0.1772,  0.2530,2148.1178,1494.1056,8516.1728, 87.3401, 10.9660, 11.7143,  1.0492,-10.7711, -0.8567,-11.0481, -0.0004, -0.0009, 10.9723, 11.7216,  1.0490,  0.2978, -0.1208,  0.2403,  0.0572,2148.1173,1494.1053, 12.0340, 12.3396,  0.9566,2724.5295, 25.9430,4806.1548, 39.0452,6504.1519, 52.3528,8231.1084, 78.9388,8885.3609,105.7119,9439.8962,150.3330,9758.8322,221.5288,9925.4941,310.0403,10965.5980,442.9729,14795.7931,620.1411,9002.0260, 65.2822,8694.0053, 62.9834,     nan,  0.9585,  0.0000,  1.0567,  0.0000,  0.0000,690.0000
691.0000,  0.0013,  0.0015,  0.0000,  3.0000,     nan,     nan,     nan,2288.8322,1534.9831,2288.0503,1534.0429,2288.8306,1534.9845,  0.0111,  0.0134, 11.4548, 15.3743,  1.1932,  0.0640,  0.0526,  0.0859,2288.8285,1534.9841,32634.6017, 91.1286, 10.9991, 11.7905,  1.0098, -2.9149, -0.3036, -3.9122, -0.0004, -0.0009, 11.0055, 11.7979,  1.0097,     nan,     nan,     nan,     nan,2288.8264,1534.9837, 11.4626, 15.3833,  1.1936,9690.4229, 25.9014,17396.0781, 39.0440,23914.4844, 52.3515,31027.6523, 78.9375,33839.6682,105.9481,35848.5551,150.2498,36926.2185,221.5288,38571.4482,310.0403,45151.8301,442.8882,46407.3516,620.1008,34473.2619, 68.0681,31891.8271, 63.0958,     nan,  0.9584,  0.0000,  1.0560,  0.0000,  0.0000,691.0000
692.0000,  0.0019,  0.0015,  0.0000,  2.0000,     nan,     nan,     nan,1605.7929,1501.0703,1605.0530,1501.0026,1605.7916,1501.0701,  0.0368,  0.0418, 11.8076, 14.3018, -0.9274,  0.2115,  0.1650,  0.2562,1605.7902,1501.0729,10075.1221, 90.2451, 10.8955, 11.5360,  1.1258, -9.5446,  0.7497,-11.5608, -0.0004, -0.0008, 10.9018, 11.5429,  1.1258,     nan,     nan,     nan,     nan,1605.7889,1501.0757, 11.8154, 14.3096, -0.9274,3044.8440, 25.9533,5467.1865, 39.0369,7475.3735, 52.3432,9613.0342, 78.9295,10366.3082,106.4190,10919.6288,150.5822,11083.9752,221.5852,11880.4191,310.0806,15237.0608,442.9729,16620.7238,620.2217,10666.8084, 67.5605,9851.1544, 62.7089,     nan,  0.9587,  0.0000,  1.0584,  0.0000,  1.0000,692.0000
693.0000,  0.0015,  0.0015,  0.0000,  0.0000,     nan,     nan,     nan,2091.5030,1503.1134,2091.0184,1503.0072,2091.4903,1503.0856,  0.0412,  0.0482, 17.1272, 18.3579,  1.1270,  0.1884,  0.1382,  0.2019,2091.4965,1503.0993,19172.8548,105.4454, 10.9557, 11.6876,  1.0632, -9.9324, -0.6536,-10.6461, -0.0004, -0.0009, 10.9624, 11.6948,  1.0630, -0.0435,  0.0142,  0.0222,  0.3241,2091.5027,1503.1130, 17.1342, 18.3651,  1.1264,4538.2554, 25.9780,8412.6855, 39.0063,12135.9697, 52.3078,17059.2168, 78.8954,19205.4664,106.4190,20408.2006,150.8310,21099.5863,221.3030,21375.9759,310.0403,22273.2499,443.1704,25019.4110,620.4232,20269.3764, 78.8254,15873.7252, 62.9356, 25.0000,  0.9586,  0.0000,  1.0570,  0.0000,  1.0000,693.0000
694.0000,  0.0034,  0.0015,  0.0000,  0.0000,     nan,     nan,     nan, 77.5789,1499.5826, 77.1030,1499.0586, 77.6008,1499.5821,  0.1230,  0.1467, 10.3200, 13.6868,  1.5814,  0.6841,  0.5620,  0.9073, 77.5956,1499.5816,2595.5241, 86.0292, 11.0543, 11.9676,  0.6943,-29.4271, -4.5093,-39.0274, -0.0007, -0.0008, 11.0601, 11.9752,  0.6942,  2.4910, -1.7704,  1.1750,  0.0367, 77.5905,1499.5810, 10.3220, 13.6899,  1.5810,875.4637, 26.0466,1464.5778, 38.9748,1989.6897, 52.2700,2518.4626, 78.8588,2786.6500,106.6536,2859.6438,151.0794,2792.2093,221.9797,3284.4824,310.3627,4364.8418,443.2832,7536.1886,620.3426,2736.5572, 64.1373,2700.2686, 63.2137, 25.0000,  0.9562,  0.0000,  1.0542,  0.0000,  0.0000,694.0000
695.0000,  0.0008,  0.0014,  0.0000,  3.0000,     nan,     nan,     nan,2731.3389,1465.1021,2731.0284,1465.0002,2731.3336,1465.1121,  0.0389,  0.0424, 10.8218, 11.7561,  0.8108,  0.2188,  0.1617,  0.2377,2731.3368,1465.1070,8317.4013, 84.0753, 11.1169, 12.1174,  0.8256, -9.1970, -0.6890, -9.9911, -0.0006, -0.0010, 11.1229, 12.1247,  0.8260,     nan,     nan,     nan,     nan,2731.3399,1465.1019, 10.8360, 11.7734,  0.8074,2848.7173, 25.9920,4926.6240, 39.0163,6554.9741, 52.3192,8131.4009, 78.9064,8854.1894,106.3015,10027.2387,150.7481,13801.3236,221.4723,14490.3417,310.0806,15598.8759,443.1140,21581.5975,620.4232,8765.1095, 62.6503,8919.8116, 63.5333,     nan,  0.9578,  0.0000,  1.0531,  0.0000,  0.0000,695.0000
696.0000,  0.0033,  0.0015,  0.0000,  0.0000,     nan,     nan,     nan,214.1527,1505.4982,213.9773,1505.0609,214.1552,1505.5013,  0.1166,  0.1296, 10.0594, 11.7985,  0.3837,  0.6287,  0.4817,  0.7374,214.1573,1505.4952,2646.8136, 82.7094, 11.0162, 11.8705,  0.7761,-25.9990, -0.9916,-30.4939, -0.0006, -0.0008, 11.0219, 11.8778,  0.7760,     nan,     nan,     nan,     nan,214.1594,1505.4893, 10.0635, 11.8082,  0.3828,935.8593, 26.0118,1590.4609, 39.0004,2111.7827, 52.3007,2645.6140, 78.8885,2801.4249,106.3015,2843.1972,150.6652,2861.8475,221.4723,2942.1185,310.3224,3597.4182,443.0858,6215.0176,620.5643,2793.5898, 61.7275,2859.9434, 63.0988, 25.0000,  0.9566,  0.0000,  1.0551,  0.0000,  0.0000,696.0000
697.0000,  0.0035,  0.0015,  0.0000,  2.0000,     nan,     nan,     nan, 27.0698,1520.5969, 26.9982,1520.0320, 27.0679,1520.6039,  0.0077,  0.0082, 14.4926, 15.1560,  1.4816,  0.0498,  0.0362,  0.0521, 27.0684,1520.5993,56038.0617, 96.2570, 11.0666, 12.0135,  0.6673, -2.3962, -0.2450, -2.5059, -0.0007, -0.0008, 11.0723, 12.0210,  0.6673,     nan,     nan,     nan,     nan, 27.0689,1520.5950, 14.5026, 15.1718,  1.4809,15408.4531, 25.9671,27886.1973, 39.0122,39119.1133, 52.3147,52075.9609, 78.9020,57392.6190,106.4190,61996.5378,150.6652,65664.3215,221.4723,     nan,     nan,     nan,     nan,     nan,     nan,59081.1174, 71.7600,51858.2226, 63.2721,     nan,  0.9561,  0.0000,  1.0538,  0.0000,  1.0000,697.0000
